name,repo,reference_url,source_type
design_patterns,https://github.com/me115/design_patterns,,repo
deskhop,https://github.com/hrvach/deskhop,,repo
Detours,https://github.com/microsoft/Detours,,repo
dev-can-linux,https://github.com/Deniz-Eren/dev-can-linux,,repo
diffutils,https://git.savannah.gnu.org/git/diffutils.git,,repo
DirectX-Graphics-Samples,https://github.com/microsoft/DirectX-Graphics-Samples,,repo
directxmath,https://github.com/microsoft/DirectXMath,,repo
directxshadercompiler,https://github.com/microsoft/DirectXShaderCompiler,,repo
directxtk,https://github.com/microsoft/DirectXTK,,repo
directxtk12,https://github.com/microsoft/DirectXTK12,,repo
dlssg-to-fsr3,https://github.com/Nukem9/dlssg-to-fsr3,,repo
dlt-daemon,https://github.com/COVESA/dlt-daemon,,repo
dnsmasq,https://thekelleys.org.uk/dnsmasq,,repo
doctest,https://github.com/doctest/doctest,,repo
dogecoin,https://github.com/dogecoin/dogecoin,,repo
dolphin-emu,https://github.com/dolphin-emu/dolphin,,repo
DOOM,https://github.com/id-Software/DOOM,,repo
DOOM-3-BFG,https://github.com/id-Software/DOOM-3-BFG,,repo
doxygen,https://github.com/doxygen/doxygen,,repo
dperf,https://github.com/baidu/dperf,,repo
dpkg,https://salsa.debian.org/dpkg-team/dpkg.git,,repo
draco,https://github.com/google/draco,,repo
drogon,https://github.com/drogonframework/drogon,,repo
dropbear,https://github.com/mkj/dropbear,,repo
duckdb,https://github.com/duckdb/duckdb,,repo
Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,,repo
dunst,https://github.com/dunst-project/dunst,,repo
dxvk,https://github.com/doitsujin/dxvk,,repo
e2fsprogs,https://git.kernel.org/pub/scm/fs/ext2/e2fsprogs.git,,repo
ecos,https://ecos.sourceware.org/,,repo
edgeai-gst-apps,https://github.com/TexasInstruments/edgeai-gst-apps,,repo
edgeai-gst-plugins,https://github.com/TexasInstruments/edgeai-gst-plugins,,repo
edk2,https://github.com/tianocore/edk2,,repo
eigen,https://gitlab.com/libeigen/eigen,,repo
envoy,https://github.com/envoyproxy/envoy,,repo
esp-idf,https://github.com/espressif/esp-idf.git,,repo
esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,,repo
esp_wifi_repeater,https://github.com/martin-ger/esp_wifi_repeater,,repo
ethminer,https://github.com/ethereum-mining/ethminer,,repo
eudev,https://github.com/eudev-team/eudev,,repo
expat,https://github.com/libexpat/libexpat,,repo
f29h85x-sdk,https://github.com/TexasInstruments/f29h85x-sdk,,repo
fast-cdr,https://github.com/eProsima/Fast-CDR,,repo
fast-dds,https://github.com/eProsima/Fast-DDS,,repo
FasterTransformer,https://github.com/NVIDIA/FasterTransformer,,repo
fastfetch,https://github.com/fastfetch-cli/fastfetch,,repo
FastLED,https://github.com/FastLED/FastLED,,repo
fatfs,http://elm-chan.org/fsw/ff,,repo
FEX,https://github.com/FEX-Emu/FEX,,repo
FFmpeg,https://github.com/FFmpeg/FFmpeg,,repo
fftw,https://github.com/FFTW/fftw3,,repo
filament,https://github.com/google/filament,,repo
FileCentipede,https://github.com/filecxx/FileCentipede,,repo
filex,https://github.com/eclipse-threadx/filex,,repo
fio,https://github.com/axboe/fio,,repo
flameshot,https://github.com/flameshot-org/flameshot,,repo
flashlight,https://github.com/flashlight/flashlight,,repo
flashrom,https://github.com/flashrom/flashrom,,repo
flatbuffers,https://github.com/google/flatbuffers,,repo
fluent-bit,https://github.com/fluent/fluent-bit,,repo
flutter-desktop-embedding,https://github.com/google/flutter-desktop-embedding,,repo
flutter-engine,https://github.com/flutter/engine,,repo
fmt,https://github.com/fmtlib/fmt,,repo
folly,https://github.com/facebook/folly,,repo
fontforge,https://github.com/fontforge/fontforge,,repo
foundationdb,https://github.com/apple/foundationdb,,repo
fprime,https://github.com/nasa/fprime,,repo
franca-idl,https://github.com/franca/franca,,repo
freebsd,https://github.com/freebsd/freebsd-src,,repo
FreeCAD,https://github.com/FreeCAD/FreeCAD,,repo
FreeRDP,https://github.com/FreeRDP/FreeRDP,,repo
freertos,https://github.com/FreeRTOS/FreeRTOS,,repo
freertos-cellular-interface,https://github.com/FreeRTOS/FreeRTOS-Cellular-Interface,,repo
freertos-kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,,repo
freertos-plus-tcp,https://github.com/FreeRTOS/FreeRTOS-Plus-TCP,,repo
freetype,https://github.com/freetype/freetype,,repo
fswatch,https://github.com/emcrisostomo/fswatch,,repo
Game-Cheats-Manager,https://github.com/dyang886/Game-Cheats-Manager,,repo
gamemode,https://github.com/FeralInteractive/gamemode,,repo
gcc,https://github.com/gcc-mirror/gcc,,repo
gdal,https://github.com/OSGeo/gdal,,repo
gdb,https://sourceware.org/git/binutils-gdb.git,,repo
gdcm,https://github.com/malaterre/GDCM,,repo
